Year,Quarter,Sale Volume (in MLPD),Lagged Sales Volume,Lagged Selling Value,Selling Value (per Lt in Rs),Lagged Total Revenue,Total Revenue (INR in Mn),Milk Procurement (in MLPD),Lagged Procurement Values,Procurement Value (per Lt in Rs),Inflation (CPI),GINI Coefficient(SBI),GINI Index(World Bank),Per Capita Income in Selling States (INR Quarter Wise),Prior CPI,Inflation Rate,Real PCI INR (Q to Q),Lagged Milk Production,Milk Prodution in Procurement States (1000 Tonnes),Urban Population Increase(in 1000s),Health Conciousness,Adjusted Food Affordability,Heritage_popularity (Telangana & AP),Food Affordability (Food Security Index),Lagged Food Affordabaility
2021-22,Q1,0.95,1,46.27,46.39,4437.11,5067,1.2,37.25,33.45,133.5,0.435,32.8,56174.66,0,,56174.66,16481.625,17599.38,726.62,,1119.01,0.51,50.2,55
2021-22,Q2,1.04,0.95,46.39,46.85,5067,5023,1.3,33.45,34.36,133.1,0.435,32.8,56174.66,133.5,-0.299625468,56343.48,17599.38,17599.38,726.62,,1122.38,0.5,50.2,50.2
2021-22,Q3,1.04,1.04,46.85,46.71,5023,4903,1.2,34.36,38.3,135.5,0.435,32.8,56174.66,133.1,1.803155522,55179.68,17599.38,17599.38,726.62,,1099.196902,0.6,50.2,50.2
2021-22,Q4,1.02,1.04,46.71,48.07,4903,4631.54,1.3,38.3,38.46,138.1,0.435,32.8,56174.66,135.5,1.918819188,55117.06,17599.38,17599.38,726.62,,1097.949466,0.56,50.2,50.2
2022-23,Q1,1.1,1.02,48.07,53.93,4631.54,5183,1.47,38.46,40.77,138.1,0.402,32.925,63942.93,138.1,0,63942.93,17599.38,18221.5,726.07,,1078.295616,0.64,59.3,50.2
2022-23,Q2,1.12,1.1,53.93,50.87,5183,5183,1.46,40.77,39.17,141.7,0.402,32.925,63942.93,138.1,2.606806662,62318.41,18221.5,18221.5,726.07,,1050.900667,0.6,59.3,59.3
2022-23,Q3,1.07,1.12,50.87,52.29,5183,5262,1.43,39.17,43.7,143.7,0.402,32.925,63942.93,141.7,1.411432604,63052.98,18221.5,18221.5,726.07,,1063.288022,0.58,59.3,59.3
2022-23,Q4,1.07,1.07,52.29,53.23,5262,5306,1.43,43.7,40.76,145.9,0.402,32.925,63942.93,143.7,1.530967293,62978.75,18221.5,18221.5,726.07,,1062.036189,0.57,59.3,59.3
2023-24,Q1,1.08,1.07,53.23,54.49,5306,5534,1.52,40.76,44.45,146.5,0.399,32.853,69441.82,145.9,0.411240576,69157.42,18221.5,18862.25,724.17,,1232.752525,0.5,56.1,59.3
2023-24,Q2,1.13,1.08,54.49,54.76,5534,5576,1.48,44.45,43.22,148.8,0.399,32.853,69441.82,146.5,1.56996587,68368.46,18862.25,18862.25,724.17,,1218.6891,0.63,56.1,56.1
2023-24,Q3,1.1,1.13,54.76,55,5576,5711,1.63,43.22,43.09,152.9,0.399,32.853,69441.82,148.8,2.755376344,67579.74,18862.25,18862.25,724.17,,1204.630013,0.67,56.1,56.1
2023-24,Q4,1.11,1.1,55,54.84,5711,5369,1.59,43.09,41.7,152.9,0.399,32.853,69441.82,152.9,0,69441.82,18862.25,18862.25,724.17,,1237.822103,0.61,56.1,56.1
